name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"الدمام, السعودية",2023-01-01,21.7,14.2,17.6,21.7,14.2,17.6,10.1,61.9,0,0,0,,0,0,30.6,24.7,327.5,1024.8,37.9,9,153.1,13,6,10,2023-01-01T06:27:44,2023-01-01T16:58:28,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-02,14.8,12.4,13.3,14.8,12.4,13.3,10.7,84.6,4.5,100,41.67,rain,0,0,33.1,24.2,296.6,1024.9,75.3,5.3,42.8,3.6,3,10,2023-01-02T06:28:00,2023-01-02T16:59:08,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-03,17.4,12.4,14.6,17.4,12.4,14.6,10.7,78.6,0,0,0,,0,0,22,20.6,294.8,1025,68.3,7,89.5,7.6,4,10,2023-01-03T06:28:15,2023-01-03T16:59:50,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-04,19.1,12.2,15.7,19.1,12.2,15.7,13.9,89.6,3.1,100,16.67,rain,0,0,36,17.7,81.4,1020,73.2,5.9,49.7,4.2,3,10,2023-01-04T06:28:28,2023-01-04T17:00:31,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-05,18,13.8,16.2,18,13.8,16.2,15.7,96.7,28.7,100,62.5,rain,0,0,33.8,28.4,349.5,1019,95.8,5.8,14.9,1.3,1,10,2023-01-05T06:28:40,2023-01-05T17:01:14,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-06,15.4,13.1,14.4,15.4,13.1,14.4,12,85.7,1.2,100,16.67,rain,0,0,25.9,20.3,300.6,1020.8,85.3,9.4,84.5,7.2,5,10,2023-01-06T06:28:51,2023-01-06T17:01:57,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-07,19,13.5,15.4,19,13.5,15.4,11.7,79.2,1,100,8.33,rain,0,0,27.4,20.4,299,1020.6,54.3,9.1,158.6,13.6,6,10,2023-01-07T06:29:00,2023-01-07T17:02:41,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-08,19,11.5,15.1,19,11.5,15.1,9.7,71.9,0,0,0,,0,0,21.6,15.6,313.8,1020.6,34.9,9.4,153.3,13.2,6,10,2023-01-08T06:29:08,2023-01-08T17:03:25,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-09,19.7,12.2,16.2,19.7,12.2,16.2,11.4,74.2,0,0,0,,0,0,48.2,18.8,128.7,1018.6,59.6,9.1,84.5,7.4,6,10,2023-01-09T06:29:14,2023-01-09T17:04:10,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-10,17.7,13,15.8,17.7,13,15.8,12.7,82.5,5.3,100,29.17,rain,0,0,57.6,35.5,288.5,1017.9,61.2,6.4,101,8.7,6,10,2023-01-10T06:29:19,2023-01-10T17:04:55,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-11,16.7,9.8,13.3,16.7,6.6,13.1,8.3,73.4,0.1,100,4.17,rain,0,0,42.1,33.7,306.6,1022.2,8.3,8.5,166.4,14.4,7,10,2023-01-11T06:29:22,2023-01-11T17:05:40,0.65,Rain,Clear conditions throughout the day with early morning rain.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-12,17.9,8.9,13.1,17.9,5.9,12.3,6.1,63.4,0,0,0,,0,0,36,25.1,303.2,1021.9,26.9,9.9,167.6,14.5,7,10,2023-01-12T06:29:23,2023-01-12T17:06:26,0.68,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-13,20.6,12.2,16.1,20.6,12.2,16.1,11.4,75.3,0,0,0,,0,0,12.6,12.3,318,1020.9,56.2,7.5,101.3,8.6,5,10,2023-01-13T06:29:24,2023-01-13T17:07:12,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-14,19.4,14.8,17.3,19.4,14.8,17.3,15.5,88.8,0.1,100,4.17,rain,0,0,29.9,17,150.7,1019.5,65.8,5.9,125,10.8,6,10,2023-01-14T06:29:22,2023-01-14T17:07:58,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-15,22,16.8,18.6,22,16.8,18.6,15.8,84.6,1.1,100,37.5,rain,0,0,31.7,16.4,155.5,1017.9,48.6,8.8,146.9,12.6,6,10,2023-01-15T06:29:19,2023-01-15T17:08:45,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-16,21.6,15.7,18.5,21.6,15.7,18.5,16.6,89.2,0.7,100,16.67,rain,0,0,22.3,16.5,330.1,1017.2,35.6,3.7,129,11.1,6,10,2023-01-16T06:29:15,2023-01-16T17:09:32,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-17,24.3,13.8,19.3,24.3,13.8,19.3,16.3,84.1,0.2,100,8.33,rain,0,0,64.8,45.2,288,1014.3,40.1,5.1,99.5,8.6,5,10,2023-01-17T06:29:09,2023-01-17T17:10:19,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-18,19.6,11.8,14.8,19.6,11.8,14.8,8,66,0,0,0,,0,0,45.4,33.5,300.2,1019,15.8,7.4,170.3,14.6,7,10,2023-01-18T06:29:01,2023-01-18T17:11:06,0.88,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-19,19.6,11.2,14.8,19.6,11.2,14.8,9.1,69.5,0,0,0,,0,0,43.9,28.7,312.5,1020.5,42.8,9.6,170.8,14.7,7,10,2023-01-19T06:28:52,2023-01-19T17:11:53,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-20,20.6,10.5,15,20.6,10.5,15,9.6,71.6,0,0,0,,0,0,30.6,18.6,309.8,1020.1,14.1,10,179.3,15.4,7,10,2023-01-20T06:28:42,2023-01-20T17:12:41,0.95,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-21,20,9.2,14.8,20,8.3,14.8,8.9,69.7,0,0,0,,0,0,13.7,12.9,0.5,1019.9,4.7,8,179.8,15.6,7,10,2023-01-21T06:28:30,2023-01-21T17:13:28,0,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-22,22,10.5,16.2,22,10.5,16.2,10.8,73.2,0,0,0,,0,0,11.2,7.7,16.9,1018.6,21,8,178.2,15.3,7,10,2023-01-22T06:28:16,2023-01-22T17:14:15,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-23,22.6,15.5,18.5,22.6,15.5,18.5,13.2,74.1,0,0,0,,0,0,13,13.6,24.1,1018.3,36.4,7.4,159.5,13.8,7,10,2023-01-23T06:28:01,2023-01-23T17:15:03,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-24,21.3,13.8,17.4,21.3,13.8,17.4,13.1,76.7,1.1,100,16.67,rain,0,0,20.9,14.6,35.8,1018.1,50.9,7.4,149.1,12.9,6,10,2023-01-24T06:27:45,2023-01-24T17:15:50,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-25,20.7,13.8,17.4,20.7,13.8,17.4,14.1,82.1,1.2,100,33.33,rain,0,0,23.8,26,61.4,1016.9,54.7,9,165.1,14.3,7,10,2023-01-25T06:27:27,2023-01-25T17:16:37,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-26,17.7,14.5,16.5,17.7,14.5,16.5,14.7,89.3,6,100,62.5,rain,0,0,28.4,29,8,1016.3,83.4,8.5,63.4,5.6,4,10,2023-01-26T06:27:07,2023-01-26T17:17:24,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-27,21,13.5,16.6,21,13.5,16.6,8.5,62.9,0.5,100,12.5,rain,0,0,34.6,31.1,329.9,1018.5,29.9,9.1,188.8,16.1,7,10,2023-01-27T06:26:46,2023-01-27T17:18:11,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-28,20.6,11.2,15.2,20.6,11.2,15.2,7.2,61.7,0,0,0,,0,0,37.4,27.9,313.8,1020.2,8.2,8.4,191.5,16.5,7,10,2023-01-28T06:26:24,2023-01-28T17:18:57,0.25,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-29,21.2,9.6,15.1,21.2,8,14.9,4.9,55.3,0,0,0,,0,0,22,13.5,232.1,1016.9,5.3,10,195.5,16.9,7,10,2023-01-29T06:26:00,2023-01-29T17:19:44,0.25,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-30,24.3,11.8,17.4,24.3,11.8,17.4,6.4,52,0,0,0,,0,0,37.8,24.9,157.6,1015.2,6.3,9.9,196.4,16.8,7,10,2023-01-30T06:25:35,2023-01-30T17:20:30,0.29,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-01-31,23.3,14.8,19,23.3,14.8,19,10.1,59,0,0,0,,0,0,58.7,36.4,147.1,1012.4,4.6,8.8,192.7,16.6,7,10,2023-01-31T06:25:08,2023-01-31T17:21:16,0.32,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-01,25.4,18.7,21,25.4,18.7,21,11.2,55.2,0,0,0,,0,0,62.6,27.1,193,1011.2,11.9,7.4,178.8,15.4,7,10,2023-02-01T06:24:40,2023-02-01T17:22:01,0.35,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-02,23.7,17.4,19.8,23.7,17.4,19.8,15.7,77.4,0.2,100,8.33,rain,0,0,33.8,27.1,338.6,1014,49.4,7.1,121.1,10.2,5,10,2023-02-02T06:24:11,2023-02-02T17:22:47,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-03,21.7,13.5,17.7,21.7,13.5,17.7,9.3,60.4,0,0,0,,0,0,45,37.9,335.7,1019.1,7.1,8.9,199.6,17,7,10,2023-02-03T06:23:40,2023-02-03T17:23:32,0.42,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-04,20.6,11.2,15.8,20.6,11.2,15.8,5.4,51.1,0,0,0,,0,0,33.8,21.2,320.4,1017.5,25.7,10.1,196.3,17,7,10,2023-02-04T06:23:08,2023-02-04T17:24:16,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-05,22,12.8,17,22,12.8,17,8.9,60.2,0,0,0,,0,0,14.8,21.6,27.2,1015.8,8.2,10,199.8,17.1,7,10,2023-02-05T06:22:35,2023-02-05T17:25:01,0.5,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-06,25,13.2,19.2,25,13.2,19.2,11.9,66.1,0,0,0,,0,0,50.4,31.7,132.7,1013,12.6,9.7,196.5,17.1,7,10,2023-02-06T06:22:00,2023-02-06T17:25:45,0.52,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-07,28.6,17.7,21.8,27.7,17.7,21.7,11.3,54.8,0,0,0,,0,0,50.4,29.4,268.6,1010.1,31.7,8.2,178.2,15.6,7,10,2023-02-07T06:21:24,2023-02-07T17:26:28,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-08,22,16.5,18.8,22,16.5,18.8,8.4,51.9,0,0,0,,0,0,45,31.5,348.7,1015.2,58.9,9,186.8,16,7,10,2023-02-08T06:20:47,2023-02-08T17:27:12,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-09,20,12.6,16.4,20,12.6,16.4,3.9,44.3,0,0,0,,0,0,35.6,32.7,333.4,1020.6,64.6,10,183.3,15.8,7,10,2023-02-09T06:20:09,2023-02-09T17:27:55,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-10,19,11.2,15.1,19,11.2,15.1,4.3,48.9,0,0,0,,0,0,35.6,26.9,329.6,1022.1,62.9,10.1,207,17.9,8,10,2023-02-10T06:19:29,2023-02-10T17:28:37,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-11,22.2,10.9,16.3,22.2,10.9,16.3,7.5,56.9,0,0,0,,0,0,26.6,16.1,26.1,1020,47,10.1,205.1,17.8,8,10,2023-02-11T06:18:49,2023-02-11T17:29:19,0.69,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-12,25.6,13.8,19.8,25.6,13.8,19.8,11.4,64.1,0,0,0,,0,0,42.1,30.3,143.7,1015.5,71.4,9.7,194.8,16.9,7,10,2023-02-12T06:18:07,2023-02-12T17:30:01,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-13,25.6,14.8,19.7,25.6,14.8,19.7,15.4,78,0,0,0,,0,0,42.5,25.3,352.5,1015.9,30.3,8.5,197.4,16.9,7,10,2023-02-13T06:17:24,2023-02-13T17:30:42,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-14,24.2,15.8,20.1,24.2,15.8,20.1,16.6,81.1,0,0,0,,0,0,39.6,20.1,30.2,1013.6,28.1,8.4,203.5,17.4,7,10,2023-02-14T06:16:40,2023-02-14T17:31:23,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-15,25.6,15.8,20,25.6,15.8,20,14.9,75.7,0,0,0,,0,0,38.5,25.1,344.7,1010.4,27.1,8.9,213.3,18.4,8,10,2023-02-15T06:15:55,2023-02-15T17:32:03,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-16,20.7,14.8,17.5,20.7,14.8,17.5,8.4,56.5,0,0,0,,0,0,48.2,45.5,336,1016.8,21.5,8.4,214.1,18.6,8,10,2023-02-16T06:15:09,2023-02-16T17:32:43,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-17,19.6,14.7,16.5,19.6,14.7,16.5,4.6,45.8,0,0,0,,0,0,59.4,46.5,335.1,1021.6,18.4,9.7,204.4,17.7,8,10,2023-02-17T06:14:21,2023-02-17T17:33:23,0.9,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-18,18.6,11.9,14.8,18.6,11.9,14.8,-1.2,33.8,0,0,0,,0,0,47.2,35,320.5,1023.2,42.4,9.6,210,18,8,10,2023-02-18T06:13:33,2023-02-18T17:34:02,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-19,20.6,10.9,14.9,20.6,10.9,14.9,0.9,39.4,0,0,0,,0,0,51.8,29.7,319.6,1022.6,69.2,10,201.5,17.4,7,10,2023-02-19T06:12:44,2023-02-19T17:34:41,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-20,22.8,9.5,15.8,22.8,6.7,15.5,1.3,39.7,0,0,0,,0,0,42.1,27.1,308.8,1020.3,35.3,10.1,230.1,19.7,8,10,2023-02-20T06:11:54,2023-02-20T17:35:19,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-21,23.9,10.5,17.2,23.9,10.5,17.2,0.5,36.5,0,0,0,,0,0,23,13.7,350.2,1017.1,58.8,10.1,193.6,16.7,7,10,2023-02-21T06:11:03,2023-02-21T17:35:57,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-22,27.4,11.8,19.4,26.3,11.8,19.3,7.5,52.9,0,0,0,,0,0,20.5,14.2,128.9,1014.5,5.3,8.7,231.5,20,8,10,2023-02-22T06:10:11,2023-02-22T17:36:34,0.07,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-23,29.8,14.2,21.2,28,14.2,20.8,4.6,39.4,0,0,0,,0,0,42.8,20.2,133.2,1010.1,5.6,9.9,233.1,20.1,8,10,2023-02-23T06:09:18,2023-02-23T17:37:11,0.1,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-24,28.8,16.4,22,27.3,16.4,21.8,7,42.8,0,0,0,,0,0,42.5,20.5,139.5,1009.9,17.2,10,234.6,20.3,8,10,2023-02-24T06:08:25,2023-02-24T17:37:48,0.13,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-25,27.5,14.8,21,27.6,14.8,21,14.1,66,0,0,0,,0,0,22,20.4,35,1013.4,10,7.7,228.3,19.7,8,10,2023-02-25T06:07:31,2023-02-25T17:38:24,0.17,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-26,28.5,18.1,22.8,28.7,18.1,22.8,16.4,68.3,0,0,0,,0,0,38.9,24.3,74.8,1014.5,40.2,8.1,206.2,18,8,10,2023-02-26T06:06:36,2023-02-26T17:39:00,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-27,26,21,22.9,26,21,22.9,15.5,64.3,0,0,0,,0,0,55.4,47.4,39,1015.5,59.1,9.2,218.2,18.9,8,5,2023-02-27T06:05:40,2023-02-27T17:39:35,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-02-28,26.2,19.4,22.3,26.2,19.4,22.3,11.4,51.4,0,0,0,,0,0,35.6,32,354.6,1016.3,35.4,10.1,199.8,17.4,8,10,2023-02-28T06:04:43,2023-02-28T17:40:10,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-01,26.2,15.9,20.2,26.2,15.9,20.2,4.2,37.1,0,0,0,,0,0,40,30,336.2,1016.4,29.1,9.5,224.6,19.6,8,10,2023-03-01T06:03:46,2023-03-01T17:40:45,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-02,27.8,13.8,20.3,26.6,13.8,20.1,3,35.9,0,0,0,,0,0,22.7,19.7,338.7,1017.1,8.4,10,251,21.7,9,10,2023-03-02T06:02:48,2023-03-02T17:41:19,0.33,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-03,28.2,13.6,20.6,26.8,13.6,20.4,3.6,37.3,0,0,0,,0,0,18.4,19.5,76.3,1018.5,2.1,9.5,243.1,21.1,9,10,2023-03-03T06:01:50,2023-03-03T17:41:53,0.36,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-04,28.9,13.8,21.6,27.3,13.8,21.3,5.8,41.6,0,0,0,,0,0,21.6,20.4,100.8,1018.5,4.4,10,243.8,21.2,9,10,2023-03-04T06:00:50,2023-03-04T17:42:26,0.4,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-05,32.1,17.8,24.2,30,17.8,23.6,7,36.4,0,0,0,,0,0,25.2,14.6,164.1,1017.9,9.2,10,241.5,21.1,8,10,2023-03-05T05:59:51,2023-03-05T17:42:59,0.43,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-06,32.2,17.2,24.7,30.9,17.2,24.3,8.6,37.2,0,0,0,,0,0,19.8,16.8,48.6,1015.4,19,9.1,241.7,20.9,9,10,2023-03-06T05:58:51,2023-03-06T17:43:32,0.46,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-07,34.4,17.9,25.4,32,17.9,24.8,10.3,43.3,0,0,0,,0,0,35.3,23.3,133.5,1012.6,21.6,9.7,247,21.4,9,10,2023-03-07T05:57:50,2023-03-07T17:44:05,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-08,33.5,19.8,25.4,31.2,19.8,24.8,10.8,44.1,0,0,0,,0,0,44.3,26.3,118.6,1011.9,45.4,9.2,231.8,20.2,9,10,2023-03-08T05:56:49,2023-03-08T17:44:37,0.53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-09,32.8,17.8,25,30.8,17.8,24.6,14.7,57.9,0,0,0,,0,0,48.6,26.1,112.1,1010.5,24.4,8.4,240.3,21,8,10,2023-03-09T05:55:47,2023-03-09T17:45:09,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-10,26.9,20.7,23.3,27.6,20.7,23.3,14.9,59.4,0,0,0,,0,0,55.4,49.7,17.5,1011.9,46.8,8,184.6,15.9,8,5,2023-03-10T05:54:45,2023-03-10T17:45:41,0.6,Partially cloudy,Partly cloudy throughout the day.,wind,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-11,25.3,16.8,21,25.3,16.8,21,14.7,68.5,0.1,100,4.17,rain,0,0,42.5,25.9,347.9,1015,23.2,9.6,225.2,19.5,9,10,2023-03-11T05:53:42,2023-03-11T17:46:12,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-12,28.5,16.1,22.2,27.3,16.1,22.1,13.9,63.3,0,0,0,,0,0,23.8,20.9,15.6,1012.6,47.4,9.7,215.4,18.4,8,10,2023-03-12T05:52:40,2023-03-12T17:46:43,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-13,24.5,18.1,21.1,24.5,18.1,21.1,17.3,79.6,7,100,45.83,rain,0,0,45,23.2,103.1,1011.7,71.1,8.3,156.3,13.4,8,10,2023-03-13T05:51:36,2023-03-13T17:47:14,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-14,27.6,18.8,22.9,28.2,18.8,22.9,18,76,0,0,0,,0,0,25.9,15.7,115.5,1011.7,28.3,8.4,252.9,21.9,9,10,2023-03-14T05:50:33,2023-03-14T17:47:45,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-15,27.9,19.8,24.2,28.2,19.8,24.4,17.5,67.9,0.2,100,8.33,rain,0,0,38.5,18.9,113.9,1008.8,45.1,8.6,251.8,21.5,9,10,2023-03-15T05:49:29,2023-03-15T17:48:15,0.75,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"OEDR,41150099999,40416099999,OEDF,40415099999"
"الدمام, السعودية",2023-03-16,30.6,20.4,23.6,30.2,20.4,23.6,15,60.1,0,0,0,,0,0,37.1,41.3,4.5,1011,23.4,9.5,258.5,22.4,9,10,2023-03-16T05:48:25,2023-03-16T17:48:45,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,40415099999"
